trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.5, 'e': 0.9851587315266797}",20,0,-120.54275023146747,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.9849001546502806}",30,0,-186.78920584920934,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
118,False,"{'a': 0.5, 'e': 0.9846393617489492}",25,0,-130.2122785886741,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.984376353409469}",25,0,-87.43223233909666,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.9841111302236092}",20,0,-165.6067746208174,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
121,False,"{'a': 0.5, 'e': 0.9838436927881214}",25,9,-68.08357676408973,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.9835740417047399}",20,0,-150.7791961129755,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.9833021775801796}",20,10,-10.002535916393896,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.9830281010261345}",20,0,-81.41971681761063,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.9827518126592768}",20,0,-38.31811853692349,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.9824733131012553}",25,0,-119.57404136122986,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.9821926029786937}",35,14,-35.31461822275847,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.9819096829231898}",35,0,-245.29890236774642,"{0: 20, 1: 3, 2: 7, 3: 1, 4: 4}",0
129,False,"{'a': 0.5, 'e': 0.9816245535713135}",20,0,-151.32240600582213,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.981337215564606}",25,0,-9.75075810139931,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.9810476695495772}",25,0,-113.05852713041763,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.980755916177706}",20,0,-67.77908259664176,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.9804619561054371}",20,0,-90.21282536539407,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.9801657899941806}",25,0,-211.91711479136268,"{0: 11, 1: 2, 2: 6, 3: 4, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.97986741851031}",20,0,-101.78036224166176,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.9795668423251612}",25,0,-65.23957759594863,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.9792640621150305}",25,0,-61.606312964948316,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.9789590785611731}",20,10,-104.04734281696261,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 2}",1
139,False,"{'a': 0.5, 'e': 0.978651892349802}",20,0,-108.25606393489934,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.9783425041720859}",25,0,-105.10743290851428,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
